State,District,Cycle,Nutrient,Village,Value,Category,Low_Threshold,High_Threshold,Unit,Feature_ID
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,195.6864,Low,280,560,kg/ha,27_494_shc_2023-24.1969
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,196.94079999999997,Low,280,560,kg/ha,27_494_shc_2023-24.1982
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,63.97440000000002,Low,280,560,kg/ha,27_494_shc_2023-24.1983
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,204.4672,Low,280,560,kg/ha,27_494_shc_2023-24.1984
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,279.7312,Low,280,560,kg/ha,27_494_shc_2023-24.1985
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,279.7312,Low,280,560,kg/ha,27_494_shc_2023-24.1986
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,203.21280000000002,Low,280,560,kg/ha,27_494_shc_2023-24.1987
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,244.60799999999998,Low,280,560,kg/ha,27_494_shc_2023-24.1988
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,219.51999999999998,Low,280,560,kg/ha,27_494_shc_2023-24.1989
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,314.85439999999994,Medium,280,560,kg/ha,27_494_shc_2023-24.1990
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,204.4672,Low,280,560,kg/ha,27_494_shc_2023-24.1991
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,229.5552,Low,280,560,kg/ha,27_494_shc_2023-24.1992
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,199.44959999999998,Low,280,560,kg/ha,27_494_shc_2023-24.1993
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,196.94079999999997,Low,280,560,kg/ha,27_494_shc_2023-24.1994
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,229.5552,Low,280,560,kg/ha,27_494_shc_2023-24.1995
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,242.09919999999997,Low,280,560,kg/ha,27_494_shc_2023-24.1996
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,225.79199999999997,Low,280,560,kg/ha,27_494_shc_2023-24.2390
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,204.4672,Low,280,560,kg/ha,27_494_shc_2023-24.4059
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,242.09919999999997,Low,280,560,kg/ha,27_494_shc_2023-24.4065
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,322.38079999999997,Medium,280,560,kg/ha,27_494_shc_2023-24.5085
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,279.7312,Low,280,560,kg/ha,27_494_shc_2023-24.5814
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,270.9504,Low,280,560,kg/ha,27_494_shc_2023-24.9805
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,229.5552,Low,280,560,kg/ha,27_494_shc_2023-24.10080
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,63.97440000000002,Low,280,560,kg/ha,27_494_shc_2023-24.10937
Maharashtra,Satara,2023-24,Nitrogen,Yelgaon,189.41439999999997,Low,280,560,kg/ha,27_494_shc_2023-24.12129
Maharashtra,Satara,2023-24,Nitrogen,Maharugadewadi,220.77439999999999,Low,280,560,kg/ha,27_494_shc_2023-24.1517
Maharashtra,Satara,2023-24,Nitrogen,Maharugadewadi,243.3536,Low,280,560,kg/ha,27_494_shc_2023-24.2761
Maharashtra,Satara,2023-24,Nitrogen,Maharugadewadi,233.3184,Low,280,560,kg/ha,27_494_shc_2023-24.5446
Maharashtra,Satara,2023-24,Nitrogen,Maharugadewadi,218.26560000000003,Low,280,560,kg/ha,27_494_shc_2023-24.6168
